"","category","links","scrape"
"212","MP3/MP4","list.jd.com/list.html?cat=652,828,837","Y"
"213","智能设备","list.jd.com/list.html?cat=652,828,843","Y"
"214","耳机/耳麦","list.jd.com/list.html?cat=652,828,842","Y"
"215","便携/无线音箱","list.jd.com/list.html?cat=652,828,13662","Y"
"216","音箱/音响","list.jd.com/list.html?cat=652,828,841","Y"
"217","高清播放器","list.jd.com/list.html?cat=652,828,1261","Y"
"218","收音机","list.jd.com/list.html?cat=652,828,12808","Y"
"219","MP3/MP4配件","list.jd.com/list.html?cat=652,828,1274","Y"
"220","麦克风","list.jd.com/list.html?cat=652,828,869","Y"
"221","专业音频","list.jd.com/list.html?cat=652,828,962","Y"
"222","苹果配件","list.jd.com/list.html?cat=652,828,5270","Y"
"223","学生平板","list.jd.com/list.html?cat=652,12346,12358","Y"
"224","点读机/笔","list.jd.com/list.html?cat=652,12346,12357","Y"
"225","早教益智","list.jd.com/list.html?cat=652,12346,12359","Y"
"226","录音笔","list.jd.com/list.html?cat=652,12346,840","Y"
"227","电纸书","list.jd.com/list.html?cat=652,12346,1203","Y"
"228","电子词典","list.jd.com/list.html?cat=652,12346,838","Y"
"229","复读机","list.jd.com/list.html?cat=652,12346,12356","Y"
"230","延保服务","list.jd.com/list.html?cat=652,981,982","Y"
"231","杀毒软件","list.jd.com/list.html?cat=652,981,1076","Y"
"232","积分商品","list.jd.com/list.html?cat=652,981,1117","Y"
"233","桌布/罩件","list.jd.com/list.html?cat=1620,1621,11159","Y"
"234","地毯地垫","list.jd.com/list.html?cat=1620,1621,11160","Y"
"235","沙发垫套/椅垫","list.jd.com/list.html?cat=1620,1621,11161","Y"
"236","床品套件","list.jd.com/list.html?cat=1620,1621,1626","Y"
"237","被子","list.jd.com/list.html?cat=1620,1621,1627","Y"
"238","枕芯","list.jd.com/list.html?cat=1620,1621,1628","Y"
"239","床单被罩","list.jd.com/list.html?cat=1620,1621,1629","Y"
"240","毯子","list.jd.com/list.html?cat=1620,1621,1630","Y"
"241","床垫/床褥","list.jd.com/list.html?cat=1620,1621,1631","Y"
"242","蚊帐","list.jd.com/list.html?cat=1620,1621,1632","Y"
"243","抱枕靠垫","list.jd.com/list.html?cat=1620,1621,1633","Y"
"244","毛巾浴巾","list.jd.com/list.html?cat=1620,1621,1634","Y"
"245","电热毯","list.jd.com/list.html?cat=1620,1621,2688","Y"
"246","窗帘/窗纱","list.jd.com/list.html?cat=1620,1621,4952","Y"
"247","布艺软饰","list.jd.com/list.html?cat=1620,1621,11962","Y"
"248","凉席","list.jd.com/list.html?cat=1620,1621,11963","Y"
